Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.RStarTree.M128.insertBatchGreek                 thrpt        10        0.467        0.000    ops/s
c.g.a.r.RStarTree.M128.insertOne1k                      thrpt        10   537488.295     1724.468    ops/s
c.g.a.r.RStarTree.M128.insertOneGreek                   thrpt        10     5166.370        9.566    ops/s
c.g.a.r.RStarTree.M128.searchNearest1k                  thrpt        10   783783.612     3802.950    ops/s
c.g.a.r.RStarTree.M128.searchNearestGreek               thrpt        10    15232.295      219.895    ops/s
c.g.a.r.RStarTree.M128.searchOne1k                      thrpt        10  1544826.865     6113.098    ops/s
c.g.a.r.RStarTree.M128.searchOneBackpressure1k          thrpt        10   191507.425      748.758    ops/s
c.g.a.r.RStarTree.M128.searchOneBackpressureGreek       thrpt        10   166833.067      343.403    ops/s
c.g.a.r.RStarTree.M128.searchOneGreek                   thrpt        10   895266.835     2094.795    ops/s
c.g.a.r.RStarTree.M32.createIndex1k                     thrpt        10      234.225        0.319    ops/s
c.g.a.r.RStarTree.M32.createIndexGreek                  thrpt        10        1.968        0.008    ops/s
c.g.a.r.RStarTree.M32.deleteBatch1k                     thrpt        10      361.743        0.804    ops/s
c.g.a.r.RStarTree.M32.deleteBatchGreek                  thrpt        10        5.223        0.018    ops/s
c.g.a.r.RStarTree.M32.deleteOne1k                       thrpt        10  1042636.158    12157.263    ops/s
c.g.a.r.RStarTree.M32.deleteOneGreek                    thrpt        10   609961.553     4055.699    ops/s
c.g.a.r.RStarTree.M32.insertBatch1k                     thrpt        10      182.642        0.346    ops/s
c.g.a.r.RStarTree.M32.insertBatchGreek                  thrpt        10        2.947        0.011    ops/s
c.g.a.r.RStarTree.M32.insertOne1k                       thrpt        10    63605.002      220.209    ops/s
c.g.a.r.RStarTree.M32.insertOneGreek                    thrpt        10    59442.023      228.635    ops/s
c.g.a.r.RStarTree.M32.searchNearest1k                   thrpt        10  1511820.817     9791.564    ops/s
c.g.a.r.RStarTree.M32.searchNearestGreek                thrpt        10    16556.428       69.698    ops/s
c.g.a.r.RStarTree.M32.searchOne1k                       thrpt        10  1348085.732     4513.179    ops/s
c.g.a.r.RStarTree.M32.searchOneBackpressure1k           thrpt        10   188951.482      525.812    ops/s
c.g.a.r.RStarTree.M32.searchOneBackpressureGreek        thrpt        10   221148.828     1310.024    ops/s
c.g.a.r.RStarTree.M32.searchOneGreek                    thrpt        10  1243563.467     1462.595    ops/s
